URL,MainTitle,SectionTitle,Content
https://ets.utdallas.edu/,Educational Technology Services | UT Dallas - Teaching & Learning,Educational Technology Services,
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,STUDENT HEALTH NOTICES,
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,LanguageLine Solutions,"The Student Health Center uses LanguageLine Solutions for interpretation and translation services. LanguageLine interpreters are available in more than 240 languages, including American Sign Language."
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,Influenza Vaccinations,"The Student Health Center has a limited number of flu vaccines available for currently enrolled students at no charge. Log in to the Patient Portal to schedule your appointment today. An information sheet is available to explain the benefits and risks of the flu vaccine. Note: If you are pregnant, you must have a signed consent form from your physician to receive the vaccine. If you are under the age of 18, you must have a signed parental consent form on file with the center to receive the flu vaccine."
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,Students Under 18,Students under the age of 18 must have a signed and notarized Consent for Treatment Form on file with the center in order to receive medical services.
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,Virtual Healthcare,"The health center is now offering virtual health appointments with a Student Health Provider,        8 a.m.-5 p.m., Monday-Friday. Appointments can be made by logging into the Patient Portal. If you have the university Student Health Insurance Plan, you have access to AcademicLiveCare.  It is covered at 100%. To sign-up visit ahplivecare.com . Use the service key ""ALC"" when signing up and your school-specific coupon code to waive the visit co-pay. AcademicLiveCare is designed for 24/7 on-demand care so no appointment is necessary. Information about the Student Health Plan can be found on the Blue Cross Blue Shield of Texas website."
https://studenthealthcenter.utdallas.edu/,Student Health Center | The University of Texas at Dallas,SERVICES,"Get more information on the Tuberculosis (TB) screening requirement . Find off-campus testing locations Complete the off-campus TB screening form If the center is closed, please call 972-883-2747 and follow the prompts to speak with a registered nurse about your symptoms at no additional cost. The Sexual Assault Nurse Examination (S.A.N.E.) provides confidential examinations. Learn more about S.A.N.E. If you need a prescription renewal during the time that the center is closed, please log in to the Patient Portal and send a message to your healthcare provider. The provider will be able to send a prescription refill to the pharmacy of your choice. The SHC has partnered with Canyon Creek Dentistry to offer free dental screenings for currently enrolled UTD students. Learn more about oral health . The center serves only currently enrolled students who have paid the required medical services fee, which allows students to schedule a visit at no additional cost. Learn more about charges and insurance . The SHC has partnered with Wink Eye Doctors to offer free vision screenings to currently enrolled students. Learn more about vision care ."
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,May Adjusted Hours,
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Activity Center and Rec Center West,May 9th | 7 a.m. – 1 p.m. and 4 p.m. – 10 p.m.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Facility HoursSpring 2025,Hours may be abbreviated during holidays and certain times of the year.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Activity Center,Mon – Thu | 7 a.m. – 1 a.m. Fri | 7 a.m. – 10 p.m. Sat | 8 a.m. – 10 p.m. Sun | Noon – 1 a.m.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Rec CenterWest,Mon – Thu | 7 a.m. – 1 a.m. Fri | 7 a.m. – 10 p.m. Sat | 8 a.m. – 10 p.m. Sun | Noon – 1 a.m.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Natatorium,"Mon – Thurs | 7 a.m. – 1 p.m., 4-10 p.m. Fri | 7 a.m. – 1 p.m., 4 – 9 p.m. Sat – Sun | Noon – 8 p.m."
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Climbing Wall,Jan. 27 – May 1st Mon | 6 – 9 p.m. Tue | 7 – 10 p.m. Wed | 6 – 8 p.m. Thu | 7 – 10 p.m.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,SynergyPark North,Staff and Faculty Hours Mon – Fri | 5:30 – 7:30 a.m. 11:30 a.m. – 1:30 p.m. 5 – 8 p.m.
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Our Commitments,"Providing safe, clean, quality facilities and well-maintained equipment. Consistent, innovative and diverse programs. Excellent service with integrity and civility. Knowledgeable, professional and enthusiastic staff."
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Membership,Memberships are open to the UTD campus community. We offer several options. Pick the one that is right for you. Find out more on our memberships page .
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,News,
https://urec.utdallas.edu/,University Recreation | The University of Texas at Dallas,Follow Us on Social Media,"Stay up to date with events, classes, workshops, and facility information by following us on X (Twitter) and Instagram . Like us on Facebook for a chance to win prizes. Subscribe on YouTube for how-to videos and to learn more about what we offer."
https://housing.utdallas.edu/,University Housing - University Housing | The University of Texas at Dallas,First-Year Priority Application Deadline,"The priority application deadline for first-year students is April 15, 2025. All completed applications received prior to that deadline receive priority based on the date of application. After April 15, consideration is given based on the date of application and proximity to campus."
https://housing.utdallas.edu/,University Housing - University Housing | The University of Texas at Dallas,Non-First Year 2024-2025 Housing Availability,View the current housing availability for the 2024-2025 academic year.
https://housing.utdallas.edu/,University Housing - University Housing | The University of Texas at Dallas,Housing Agreement Changes & Dates,"View the 2024-2025 University Housing Terms and Conditions . (PDF) The following dates are considered the Term of your Agreement if your University Housing Terms and Conditions is received and accepted by University Housing and you are provided with a housing assignment: Summer Only Agreement: May 11, 2024 – July 31, 2024 or 48 hours after written cancellation notice is provided, whichever comes first Academic Year Agreement: Aug. 19, 2024 – May 17, 2025 Mid-Year Spring Only Agreement: Jan. 21, 2025 – May 17, 2025 View the 2025-2026 University Housing Terms and Conditions . (PDF) The following dates are considered the Term of your Agreement if your University Housing Terms and Conditions is received and accepted by University Housing and you are provided with a housing assignment: Summer Only Agreement: May 18, 2025 – July 31, 2025 or 48 hours after written cancellation notice is provided, whichever comes first Academic Year Agreement: Aug. 25, 2025 – May 16, 2026 Mid-Year Spring Only Agreement: Jan. 20, 2026 – May 16, 2026 University Housing strives to provide an exceptional residential experience by delivering educational opportunities and supportive services that foster diverse engagement, individual growth and community belonging."
https://housing.utdallas.edu/,University Housing - University Housing | The University of Texas at Dallas,Important Updates,"3/24/2025 Due to the number of students on our waitlist, the opening of the New Resident Application has been delayed. Sign up to be notified when it opens. 3/10/2025 Apr. 15, 2025 is the First-Year Housing Application priority deadline. (First-year students only. For the 2025-2026 academic year.) 3/10/2025 Jan. 12- Mar. 7, 2025: Renewal and Sign-Up . (Returning residents only. For the 2025-2026 academic year.) Jan. 13-17, 2025: Renewal Application available. Feb. 3-7, 2025: Intent to Sign Up Application available. Feb. 17-21, 2025: Roommate Groups Application available. Mar. 3-7, 2025: Room Selection Application available. 12/18/2024 Starting January 1, 2025, the cancellation policy for the remainder of the 2024-2025 housing agreement will be moved to a flat fee cancellation policy. Click here for more information."
